日付け,終値,始値,高値,安値,出来高,前日比%
1990年2月,34592.00 ,37242.00 ,37887.00 ,32443.00 ,-,-6.98%
1990年3月,29980.00 ,34587.00 ,34588.00 ,28830.00 ,-,-13.33%
1990年4月,29585.00 ,29980.00 ,30524.00 ,27251.00 ,-,-1.32%
1990年5月,33131.00 ,29594.00 ,33228.00 ,29519.00 ,-,11.99%
1990年6月,31940.00 ,33110.00 ,33345.00 ,31086.00 ,-,-3.59%
1990年7月,31036.00 ,31924.00 ,33187.00 ,30297.00 ,-,-2.83%
1990年8月,25978.00 ,31086.00 ,31372.00 ,23547.00 ,-,-16.30%
1990年9月,20984.00 ,26014.00 ,26163.00 ,20671.00 ,-,-19.22%
1990年10月,25194.00 ,20986.00 ,25486.00 ,19782.00 ,-,20.06%
1990年11月,22455.00 ,25160.00 ,25160.00 ,21934.00 ,-,-10.87%
1990年12月,23849.00 ,22457.00 ,25064.00 ,21627.00 ,-,6.21%
1991年1月,23293.00 ,23827.00 ,24110.00 ,22100.00 ,-,-2.33%
1991年2月,26409.00 ,23271.00 ,26710.00 ,22860.00 ,-,13.38%
1991年3月,26292.00 ,26389.00 ,27270.00 ,25786.00 ,-,-0.44%
1991年4月,26111.00 ,26238.00 ,27092.00 ,25914.00 ,-,-0.69%
1991年5月,25790.00 ,26194.00 ,26649.00 ,25228.00 ,-,-1.23%
1991年6月,23291.00 ,25841.00 ,26017.00 ,23215.00 ,-,-9.69%
1991年7月,24121.00 ,23377.00 ,24322.00 ,21731.00 ,-,3.56%
1991年8月,22336.00 ,24074.00 ,24084.00 ,21309.00 ,-,-7.40%
1991年9月,23916.00 ,22329.00 ,24158.00 ,22175.00 ,-,7.07%
1991年10月,25222.00 ,23910.00 ,25255.00 ,23861.00 ,-,5.46%
1991年11月,22687.00 ,25167.00 ,25167.00 ,22538.00 ,-,-10.05%
1991年12月,22984.00 ,22646.00 ,23022.00 ,21124.00 ,-,1.31%
1992年1月,22023.00 ,23031.00 ,23902.00 ,20638.00 ,-,-4.18%
1992年2月,21339.00 ,22076.00 ,22373.00 ,20486.00 ,-,-3.11%
1992年3月,19346.00 ,21348.00 ,21551.00 ,19343.00 ,-,-9.34%
1992年4月,17391.00 ,19325.00 ,19325.00 ,16572.00 ,-,-10.11%
1992年5月,18348.00 ,17375.00 ,19004.00 ,17273.00 ,-,5.50%
1992年6月,15952.00 ,18328.00 ,18503.00 ,15642.00 ,-,-13.06%
1992年7月,15910.00 ,15961.00 ,17274.00 ,15025.00 ,-,-0.26%
1992年8月,18061.00 ,15903.00 ,18169.00 ,14194.00 ,-,13.52%
1992年9月,17399.00 ,18058.00 ,19284.00 ,17396.00 ,-,-3.67%
1992年10月,16767.00 ,17422.00 ,17714.00 ,16675.00 ,-,-3.63%
